id;session_name;start_time;end_time;success;theme
1;Stand-alone;2022-07-03T23:18:41;2022-07-03T20:38:53;false;DRUNKEN
2;Internal;2022-07-04T07:14:57;2022-07-03T21:58:57;true;DRUNKEN
3;Chips Home transmit;2022-07-04T02:07:16;2022-07-03T22:02:06;true;ARUE
4;THX AGP Bermudian;2022-07-03T17:00:56;2022-07-04T10:43:03;false;DRUNKEN
5;Shirt;2022-07-03T16:59:14;2022-07-04T12:12:58;true;ARUE
6;wireless Rubber vortals;2022-07-04T03:32:03;2022-07-03T14:32:15;false;HARDCORE
7;executive experiences Ngultrum;2022-07-04T06:26:52;2022-07-03T14:02:34;true;DRUNKEN
8;Distributed RSS Car;2022-07-03T17:42:56;2022-07-03T18:41:32;true;HARDCORE
9;port;2022-07-03T17:47:00;2022-07-04T12:58:07;true;DRUNKEN
10;Buckinghamshire Wooden;2022-07-04T05:57:47;2022-07-03T17:05:42;false;CHILL
